Name,energy,contrast,correlation,homogeneity
bois.jpg,0.027336514677082327,0.020594140812890807,0.7001719365215398,0.09297904430618625
brique.jpg,0.010519822558706338,0.39640311767463693,0.5180507257161754,0.032243605353793114
degrade.jpg,0.023312380363002413,0.004136291152263374,0.9849818045818205,0.10522535387925849
gravier.jpg,0.010204145550275304,0.3485574515716371,0.4697942109727793,0.022002341784962305
laine.jpg,0.01116998497932172,0.2756334637454356,0.5622212683409499,0.028891840144127857
lignes.jpg,0.30192128541233065,0.0,1.0,1.0
metal.jpg,0.012771090364381343,0.16569344988408083,0.5140580010111675,0.042661920054282786
motif1.jpg,0.020103230814888313,0.7422932901484474,0.35474701460921876,0.031147904959512
motif2.jpg,0.012987207572963348,0.1596836688917599,0.550053797751047,0.04297743987165861
motif3.jpg,0.016643538640331936,0.07098221874999999,0.7627224087484232,0.051292275280680436
motif4.jpg,0.012957219278944278,0.4055272666189831,0.5339924094560516,0.04195728533270369
osier.jpg,0.007050227434667056,0.08016802930402925,0.6726091322970106,0.02312499097397465
papier.jpg,0.009771396571646341,0.056873207642937754,0.8606807665593631,0.047420646598188176
points.jpg,0.04054888540529881,0.07103072289736262,0.4813963626601024,0.10353851668206958
sable.jpg,0.02963440018658392,0.022470994832041347,0.5205229264653858,0.08586668016643738
stardust.jpg,0.017364360843449222,0.05744341349568755,0.8247347319997896,0.13375959826909345
tissu.jpg,0.04951158297138251,0.04119784383662545,0.7966719814184422,0.17644791425294065
